date,company,advisor_name,username,post_text,likes,retweets,comments,label
2024-10-30,ICICI Bank,Justin Edwards,kristinahenderson,Relate sea return debate wrong join citizen yourself dark however senior week money.,698,1117,654,0
2024-08-09,Adani Ports,Melissa Howard,kimrosario,Edge point put interview popular consider rather risk without.,3349,1708,80,0
2025-04-30,ICICI Bank,Michael Freeman,garciabrooke,Stock prepare kitchen rise then Republican base simple in seven.,2839,1574,178,0
2024-12-13,Reliance,Peter Brown,travisbenton,Possible cell service customer under last still affect improve keep seven.,4731,1425,589,0
2024-07-05,Reliance,Mandy Gonzalez,rebecca25,Nor author important lot half oil skin three thousand response there stuff seek while.,2802,1575,366,0
2024-08-30,Wipro,Patricia Adams,ghale,Positive project along provide run carry option play inside paper describe which.,377,1616,54,0
2024-01-22,HDFC Bank,Michelle Hogan,rebecca18,Good fall above stop medical how agreement goal late.,4478,1988,307,0
2024-07-08,Tata Motors,Norma Bailey,gomezshannon,Same woman little speak young among positive sport energy yes relationship apply must.,4166,1063,339,0
2024-12-08,Adani Ports,Gregory Shea,barnesrachel,Phone business name discuss receive turn interest commercial.,3180,1952,497,0
2024-12-27,Tata Motors,Mark Hansen,alexandernicole,Place trouble personal political PM everyone run someone those but.,2156,1869,607,1
2024-08-08,HDFC Bank,Robert Mueller,robertrivera,Thank common seat scientist head piece woman safe western year anyone amount speech outside put dark.,2581,1866,45,1
2024-01-16,Adani Ports,Karen Wall,lisayoung,Culture interesting instead anything discussion cultural she like indicate.,810,1846,477,0
2024-08-05,Wipro,Jennifer Freeman,dunnnathan,Join seat month citizen save start break soon.,21,299,700,0
2024-09-01,Adani Ports,Aaron Smith,yhayes,How recent wish will activity explain development remain carry television.,2860,448,807,0
2025-04-23,Tata Motors,Daniel Perkins,william42,Age man learn those claim sort skin court front list blue drop responsibility.,4434,336,591,0
2024-12-02,Infosys,Jeffrey Clark DDS,ian86,Smile cell thank third chair detail machine challenge skin husband single imagine lay group civil.,4798,1660,201,0
2023-09-21,Reliance,Logan Webster MD,christopheraguirre,Determine board produce pretty night civil weight successful.,2200,1849,751,0
2024-03-21,Bharti Airtel,Jennifer Jones,brettmorris,Its deal station room education wall play stage fish employee brother across middle.,3711,443,725,0
2023-10-28,Wipro,Melissa Gibson,alyssaphillips,Road involve second prove must truth example field camera draw under center enter themselves choice employee.,4497,310,709,0
2025-04-19,Reliance,Corey Johnson,heathdavid,Mention huge arrive government else off street board success put study perform record sound.,3255,1430,538,0
2024-07-11,Tata Motors,Matthew Thompson,daniel82,With might collection tax appear result summer happen accept want.,3340,1330,491,0
2025-09-08,Infosys,Linda Dodson,balvarado,Sport man view sure ready way talk tell door.,2328,1971,559,0
2024-02-17,Infosys,Brian Weber,santhony,West Democrat short industry wrong player particular city bed class popular ability.,2506,1193,457,0
2024-08-15,Infosys,Joseph Rojas,stoneshawn,Clear level account dream seem either free ball assume indicate wall through evening end everybody main.,824,464,516,0
2025-04-10,Wipro,Tonya Hughes,williamfrazier,Short first lose for challenge shake little throughout idea lawyer loss report.,2419,1897,407,0
2024-04-05,Infosys,Joshua Maddox,cfields,Nearly different sell glass put nearly ahead medical.,3656,883,188,0
2024-09-26,Adani Ports,Charles Jones,twilliams,Lay return memory picture who glass size seven short rich over sense old.,4539,1219,378,0
2025-06-27,Adani Ports,Anthony Flynn,michael20,Month support kitchen keep office ever open of.,3032,1322,268,0
2024-03-08,Adani Ports,Rebecca Swanson,wruiz,Training far kitchen energy by sign road father major this.,4398,1270,687,0
2024-01-09,Reliance,Ryan Burke,trodriguez,Pay low spend wear reduce century country partner process guess action court price blood.,2113,916,549,0
2024-10-01,Tata Motors,Joshua Kelley,johnmcbride,Move member since action rest general out few American.,1836,1411,777,1
2024-06-27,ICICI Bank,Kathleen Allen,coxdenise,Put never them it although record movement energy data strategy determine keep be program especially sense.,1662,802,407,0
2024-04-13,Wipro,Melissa Reynolds MD,smithdavid,Street cost why hand even past nice surface career.,2521,680,57,0
2024-12-19,Bharti Airtel,Regina Brown,nshaw,Look section guy heavy task your thing nature have high.,1960,1629,612,0
2024-08-31,Infosys,Nicole Fleming,stephanie85,West street window mouth experience performance party stuff far north already learn capital magazine.,4636,1555,651,1
2025-06-07,Wipro,Jessica Williamson,ypowers,Read top fall least success interesting arm national another.,183,1915,190,0
2025-03-07,Bharti Airtel,Morgan Sullivan,wilsoneduardo,Evening nature not someone break ground whatever imagine civil game while agree life kind.,1121,1797,481,1
2023-10-22,Infosys,Scott Williams,hadams,Particularly west sign best group face customer offer current huge.,192,1032,885,1
2024-05-15,Reliance,Charles Mathis,tylerbrown,Mind size paper important month into someone lawyer save window me design affect law even.,2051,611,769,0
2024-12-06,Bharti Airtel,Michael Lopez,christopher00,Must word check writer force various me collection scene number father.,4050,1981,336,0
2023-11-06,Tata Motors,Sharon Marshall,brandianderson,Science section down window whatever road stock adult word red.,159,1108,89,0
2024-05-30,ICICI Bank,Chelsey Cherry MD,salazardana,Model year likely mother east million particularly house experience public Congress.,2983,1795,618,0
2024-12-21,Adani Ports,Jennifer Garcia,crawfordheather,Fact employee floor decide find chair risk chair similar lawyer sometimes agent.,3230,1443,19,0
2024-11-05,Infosys,Benjamin Wiggins,guerrerobrittany,Fact would wrong artist her around model road.,869,394,590,0
2025-03-15,ICICI Bank,Joseph Ellis,hawkinstimothy,Significant sport produce within indeed race open catch especially impact leg seek.,2683,48,897,0
2025-01-18,Reliance,Lisa Robles,jamesfleming,Gun chair actually foreign care me difficult finish include voice.,3373,1979,817,0
2024-01-30,Adani Ports,Lacey Griffin,hollybennett,Analysis turn work player parent indicate grow by family.,2915,715,977,0
2023-11-14,Tata Motors,Ellen Flores,upowell,Plan treat effect material meeting every task project chair guy be rule knowledge.,4981,1499,646,0
2024-10-17,Bharti Airtel,Amy Turner,kristin41,Lay forward woman once enjoy important talk age.,193,1620,783,0
2025-03-09,Adani Ports,Lauren Ochoa,walterscorey,Discuss it anything science operation technology visit.,1703,101,500,0
2024-07-28,Infosys,Doris Harris,jennifer87,Energy list owner human city network ten pattern meeting method machine wish less process.,2165,923,667,0
2024-12-05,HDFC Bank,Susan Peterson,masonchristopher,Return box whom success offer degree security ground answer himself arrive serious.,4448,1007,223,0
2023-11-02,Bharti Airtel,Anthony Smith,nkaufman,Actually sing character become garden create matter play word pay small part.,1187,1414,289,0
2024-02-07,Tata Motors,Kelly Sanchez,danielrogers,Training Congress forget ready spring member authority.,201,588,418,0
2024-11-03,Wipro,Reginald Boone,davidharper,Data huge short reason skin game article despite image account born identify society sign simple.,4811,1929,392,0
2024-05-10,ICICI Bank,Lisa Griffin,fcrosby,Quality seat issue third rule else fear.,4485,565,295,1
2024-08-24,HDFC Bank,Betty Roberts,emily22,Worry significant quality work town without environmental success benefit hand indicate fine from image.,4185,382,157,0
2024-05-21,Bharti Airtel,Cory Garner,zdavis,Occur happen send great hard various clear tough north candidate glass home wife radio front.,12,400,605,0
2024-12-06,Wipro,Erin Smith,ferrellkatherine,College out modern first have shoulder front.,805,578,953,0
2024-06-27,Reliance,Gordon Roberts,jackson33,Miss food make rise least interesting test peace term mean likely necessary third want herself.,772,461,832,0
2024-04-08,Wipro,Douglas Kane,matthew97,Event your success anything deep pressure seem decide particularly two tree realize professional.,2735,1214,796,0
2025-07-05,ICICI Bank,Paul Barrera,dbrown,Important baby lose something example should later actually.,2319,689,290,0
2024-08-16,Adani Ports,Jonathan Burke,nathanielcoffey,Through check product glass recently who theory it TV season place family claim first.,1728,1976,558,0
2025-03-17,Wipro,Jennifer Woodard,james67,Risk identify by level month six include remember interview future view along.,2141,1098,215,0
2024-11-11,Wipro,Kimberly Adams,elizabethmurphy,To computer choose goal defense bit service fall send rich successful hear first camera sign number.,782,890,282,0
2024-11-17,Wipro,Ryan White,anthony51,Whom pull according set across clear cost article catch check any loss today close police.,875,913,68,0
2025-07-18,ICICI Bank,Megan Miller,emora,Stand no allow add morning theory than stuff.,1553,1358,814,0
2023-10-17,Wipro,Tami Levine,hkim,Wonder language but hard military hit parent evening this chance girl.,1611,1784,633,0
2025-08-29,Adani Ports,Austin Reynolds,kwhite,Lawyer approach hear skin think person financial resource identify hundred trip.,2580,1155,506,0
